epoch	loss	time	err
	1.0000e+00	1.3053e+00	3.8952e+03	4.3794e+01
	2.0000e+00	1.1535e+00	5.1119e+03	3.8684e+01
	3.0000e+00	1.0771e+00	3.5605e+03	3.6120e+01
	4.0000e+00	1.0203e+00	4.4811e+03	3.4228e+01
	5.0000e+00	9.6546e-01	4.2549e+03	3.2506e+01
	6.0000e+00	9.1944e-01	4.1739e+03	3.0961e+01
	7.0000e+00	8.7779e-01	4.2589e+03	2.9518e+01
	8.0000e+00	8.4523e-01	8.4528e+03	2.8494e+01
	9.0000e+00	8.0623e-01	1.1873e+04	2.7066e+01
	1.0000e+01	7.7359e-01	1.3006e+04	2.6046e+01
	1.1000e+01	7.4054e-01	1.2872e+04	2.4928e+01
	1.2000e+01	7.1279e-01	5.7571e+03	2.4019e+01
	1.3000e+01	6.8693e-01	1.3870e+04	2.3182e+01
	1.4000e+01	6.6082e-01	6.4323e+03	2.2336e+01
	1.5000e+01	6.3007e-01	3.4346e+03	2.1259e+01
